"Ref","Val","Package","PosX","PosY","Rot","Side"
"R84","1k","SM0402",19.05,24.511,-90,"top"
"R85","47k","SM0402",23.622,24.638,-90,"top"
"S1","Tact_Switch","switch-WE-WS-TASV-3x2.6_H1.4mm",15.494,35.306,180,"top"
"S31","Tact_Switch","switch-WE-WS-TASV-3x2.6_H1.4mm",11.43,35.306,180,"top"
"SH1","Shield","shield-36103166S",14.732,45.466,0,"top"
"T81","CM_Choke_90R","tr-smd-WE-CNSW_0805",27.813,7.112,90,"top"
"U1","ESP32-D0WD","QFN48_5x5_P0.35_E3.5mm",14.732,46.482,180,"top"
"U2","W25Q128JV","SO8_5.2x5.2_P1.27mm",14.732,40.64,90,"top"
"U31","APX811_2.93V","SOT143-4",7.62,34.544,0,"top"
"U41","AZ1117-3.3","SOT223",22.479,27.686,-90,"top"
"U61","RTL8201FI","QFN32_5x5_P0.5_E3.35mm",12.319,27.432,0,"top"
"U62","74AUP1G126","SOT23-5L",15.494,32.258,180,"top"
"U81","CH340G","SO16_4x10.5_P1.27mm",24.765,14.097,-90,"top"
"U82","74AHC1G08","SOT23-5L",18.669,31.242,0,"top"
"X1","40MHz_10pF","xtal-2.5x2.0mm_4pin",20.828,46.99,-90,"top"
"X2","32.768kHz_12.5pF","xtal-3.2x1.5mm",8.509,48.387,-90,"top"
"X61","25MHz_13pF","xtal-3.2x2.5mm_4pin",6.477,25.654,90,"top"
"X81","12MHz_18pF","xtal-3.2x2.5mm_4pin",19.685,8.001,-90,"top"
